sent_text,lemmas_and_tags,link,author,name
"- Джеймс, пойми...","[['-', 'None'], ['джеймс', 'NOUN'], [',', 'None'], ['понять', 'VERB'], ['...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Нет! - отрезал муж.,"[['-', 'None'], ['нет', 'PRED'], ['!', 'None'], ['-', 'None'], ['отрезать', 'VERB'], ['муж', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Покидать страну в такой сложный момент - не благородно.,"[['-', 'None'], ['покидать', 'VERB'], ['страна', 'NOUN'], ['в', 'PREP'], ['такой', 'ADJ'], ['сложный', 'ADJ'], ['момент', 'NOUN'], ['-', 'None'], ['не', 'PRCL'], ['благородно', 'ADVB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Мы не можем бросить на произвол судьбы Орден феникса, наших товарищей, директора - они все рассчитывают на нас.","[['мы', 'NPRO'], ['не', 'PRCL'], ['мочь', 'VERB'], ['бросить', 'VERB'], ['на', 'PREP'], ['произвол', 'NOUN'], ['судьба', 'NOUN'], ['орден', 'NOUN'], ['феникс', 'NOUN'], [',', 'None'], ['наш', 'ADJ'], ['товарищ', 'NOUN'], [',', 'None'], ['директор', 'NOUN'], ['-', 'None'], ['они', 'NPRO'], ['всё', 'PRCL'], ['рассчитывать', 'VERB'], ['на', 'PREP'], ['мы', 'NPRO'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Как ты не понимаешь?!,"[['как', 'CONJ'], ['ты', 'NPRO'], ['не', 'PRCL'], ['понимать', 'VERB'], ['?', 'None'], ['!', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили вздохнула, потерла переносицу.","[['лить', 'VERB'], ['вздохнуть', 'VERB'], [',', 'None'], ['потереть', 'VERB'], ['переносица', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Эти беседы велись не первый месяц - с тех пор как поставили Фиделиус на домик в Годриковой Впадине - и ни к чему не приводили.,"[['этот', 'ADJ'], ['беседа', 'NOUN'], ['вестись', 'VERB'], ['не', 'PRCL'], ['первый', 'ADJ'], ['месяц', 'NOUN'], ['-', 'None'], ['с', 'PREP'], ['тот', 'ADJ'], ['пора', 'NOUN'], ['как', 'CONJ'], ['поставить', 'VERB'], ['фиделиус', 'NOUN'], ['на', 'PREP'], ['домик', 'NOUN'], ['в', 'PREP'], ['годрикова', 'NOUN'], ['впадина', 'NOUN'], ['-', 'None'], ['и', 'CONJ'], ['ни', 'PRCL'], ['к', 'PREP'], ['что', 'NPRO'], ['не', 'PRCL'], ['приводить', 'VERB'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Джеймс уходил на задания, к ним забегал Сириус, который считал, что чете Поттер обязательно нужно остаться в Англии.","[['джеймс', 'NOUN'], ['уходить', 'VERB'], ['на', 'PREP'], ['задание', 'NOUN'], [',', 'None'], ['к', 'PREP'], ['они', 'NPRO'], ['забегать', 'VERB'], ['сириус', 'NOUN'], [',', 'None'], ['который', 'ADJ'], ['считать', 'VERB'], [',', 'None'], ['что', 'CONJ'], ['чета', 'NOUN'], ['поттер', 'NOUN'], ['обязательно', 'ADVB'], ['нужно', 'PRED'], ['остаться', 'VERB'], ['в', 'PREP'], ['англия', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"По мнению миссис Поттер, животной формой драгоценного супруга должен быть не олень, а баран.","[['по', 'PREP'], ['мнение', 'NOUN'], ['миссис', 'NOUN'], ['поттер', 'NOUN'], [',', 'None'], ['животный', 'ADJ'], ['форма', 'NOUN'], ['драгоценный', 'ADJ'], ['супруга', 'NOUN'], ['должный', 'ADJ'], ['быть', 'VERB'], ['не', 'PRCL'], ['олень', 'NOUN'], [',', 'None'], ['а', 'CONJ'], ['баран', 'NOUN'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
И у его дружка тоже.,"[['и', 'CONJ'], ['у', 'PREP'], ['он', 'NPRO'], ['дружка', 'NOUN'], ['тоже', 'PRCL'], ['.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
